L,direction,amplitude,polarity,tick,packet_centroid,directed_probe_distance,force_x,force_longitudinal,max_leading_force,integrated_longitudinal_force,valid
49,-1,0.5,1,8,30.525928246363421,6.5259282463634207,5.0716317372510209e-20,-5.0716317372510209e-20,5.0716317372510209e-20,-3.102886023600526e-18,1
49,-1,0.5,1,9,30.117024867376195,6.1170248673761947,7.2487897693451166e-21,-7.2487897693451166e-21,5.0716317372510209e-20,-3.102886023600526e-18,1
49,-1,0.5,1,10,29.659697986281511,5.6596979862815111,6.7812965534010089e-20,-6.7812965534010089e-20,5.0716317372510209e-20,-3.102886023600526e-18,1
49,-1,0.5,1,11,29.186080946434963,5.1860809464349629,6.5599039952437475e-20,-6.5599039952437475e-20,5.0716317372510209e-20,-3.102886023600526e-18,1
49,-1,0.5,1,12,28.727737750291293,4.7277377502912934,5.2166584465098332e-20,-5.2166584465098332e-20,5.0716317372510209e-20,-3.102886023600526e-18,1
49,-1,0.5,1,13,28.279838995262402,4.2798389952624021,1.4585077681883392e-19,-1.4585077681883392e-19,5.0716317372510209e-20,-3.102886023600526e-18,1
49,-1,0.5,1,14,27.828370232016059,3.8283702320160593,1.1253068316354847e-19,-1.1253068316354847e-19,5.0716317372510209e-20,-3.102886023600526e-18,1
49,-1,0.5,1,15,27.371545262015605,3.371545262015605,1.8442163903468474e-19,-1.8442163903468474e-19,5.0716317372510209e-20,-3.102886023600526e-18,1
49,-1,0.5,1,16,26.913197656923906,2.9131976569239058,2.1642727054884418e-19,-2.1642727054884418e-19,5.0716317372510209e-20,-3.102886023600526e-18,1
49,-1,0.5,1,17,26.45448359939104,2.4544835993910397,1.4596463600068393e-19,-1.4596463600068393e-19,5.0716317372510209e-20,-3.102886023600526e-18,1
49,-1,0.5,1,18,25.994728845696077,1.994728845696077,4.8858499058051868e-19,-4.8858499058051868e-19,5.0716317372510209e-20,-3.102886023600526e-18,1
49,-1,0.5,1,19,25.533662558788762,1.5336625587887625,4.286085178811167e-19,-4.286085178811167e-19,5.0716317372510209e-20,-3.102886023600526e-18,1
49,-1,0.5,1,20,25.071425603442762,1.0714256034427621,5.241260820207569e-20,-5.241260820207569e-20,5.0716317372510209e-20,-3.102886023600526e-18,1
49,-1,0.5,1,21,24.608146698507241,0.60814669850724101,-6.3531268433905101e-20,6.3531268433905101e-20,5.0716317372510209e-20,-3.102886023600526e-18,1
49,-1,0.5,1,22,24.143898064775225,0.14389806477522527,-1.3478133172426251e-19,1.3478133172426251e-19,5.0716317372510209e-20,-3.102886023600526e-18,1
49,-1,0.5,1,23,23.678752171383419,-0.32124782861658119,-5.3949554064405237e-20,5.3949554064405237e-20,5.0716317372510209e-20,-3.102886023600526e-18,1
49,-1,0.5,1,24,23.212807950662121,-0.78719204933787879,2.8842543544082396e-20,-2.8842543544082396e-20,5.0716317372510209e-20,-3.102886023600526e-18,1
49,-1,0.5,1,25,22.746186228567062,-1.253813771432938,7.6577968820055615e-20,-7.6577968820055615e-20,5.0716317372510209e-20,-3.102886023600526e-18,1
49,-1,0.5,1,26,22.279005532882909,-1.7209944671170909,1.2841226351705548e-19,-1.2841226351705548e-19,5.0716317372510209e-20,-3.102886023600526e-18,1
49,-1,0.5,1,27,21.811389036245064,-2.188610963754936,7.7874438297974076e-20,-7.7874438297974076e-20,5.0716317372510209e-20,-3.102886023600526e-18,1
49,-1,0.5,1,28,21.343462814029731,-2.6565371859702687,2.3445105378233819e-19,-2.3445105378233819e-19,5.0716317372510209e-20,-3.102886023600526e-18,1
49,-1,0.5,1,29,20.875350441859332,-3.1246495581406677,2.1534954183916999e-19,-2.1534954183916999e-19,5.0716317372510209e-20,-3.102886023600526e-18,1
49,-1,0.5,1,30,20.407199172240357,-3.5928008277596426,2.0093385598445646e-19,-2.0093385598445646e-19,5.0716317372510209e-20,-3.102886023600526e-18,1
49,-1,0.5,1,31,19.939191614083111,-4.0608083859168893,3.8750727351485349e-19,-3.8750727351485349e-19,5.0716317372510209e-20,-3.102886023600526e-18,1
49,-1,0.5,1,32,19.471485977387317,-4.5285140226126828,-7.8260679354847249e-20,7.8260679354847249e-20,5.0716317372510209e-20,-3.102886023600526e-18,1
49,-1,1,-1,1,33.638702278242008,9.6387022782420075,-2.9106864347287051e-21,2.9106864347287051e-21,1.0143263474502042e-19,6.2057720472010519e-18,1
49,-1,1,-1,2,33.182137240669228,9.1821372406692277,-2.6446376881954927e-21,2.6446376881954927e-21,1.0143263474502042e-19,6.2057720472010519e-18,1
