backend,L,orientation,stage,body,radius,enclosed_sites,enclosed_polarity,mean_polarity,boundary_flux,divergence_sum,gauss_target,telescope_residual,gauss_residual,transport_ticks,valid
cpu,32,-1,neutral,B,4,729,0,0,0.00092491531832333005,0.00092491531832328375,0,4.6295432765131039e-17,0.00092491531832333005,28,1
cpu,32,-1,neutral,B,5,1331,0,0,-0.000903535672984337,-0.0009035356729845044,0,1.6740081543176188e-16,-0.000903535672984337,28,1
cpu,32,-1,neutral,B,6,2197,0,0,0.0011225732927304102,0.0011225732927304304,0,-2.0166160408230382e-17,0.0011225732927304102,28,1
cpu,32,-1,projected,A,3,343,-1,0,-1.0011805945355328,-1.0011805945355337,-1,8.8817841970012523e-16,-0.0011805945355327641,28,1
cpu,32,-1,projected,A,4,729,-1,0,-0.99711811461598265,-0.99711811461598177,-1,-8.8817841970012523e-16,0.0028818853840173464,28,1
cpu,32,-1,projected,A,5,1331,-1,0,-1.0026353202682721,-1.0026353202682703,-1,-1.7763568394002505e-15,-0.0026353202682720678,28,1
cpu,32,-1,projected,A,6,2197,-1,0,-0.99607546532557101,-0.99607546532556956,-1,-1.4432899320127035e-15,0.0039245346744289922,28,1
cpu,32,-1,projected,B,3,343,1,0,1.0013233787834621,1.0013233787834626,1,-4.4408920985006262e-16,0.0013233787834621147,28,1
cpu,32,-1,projected,B,4,729,1,0,0.9966360289447731,0.99663602894477332,1,-2.2204460492503131e-16,-0.0033639710552268998,28,1
cpu,32,-1,projected,B,5,1331,1,0,1.0030455916072005,1.0030455916072003,1,2.2204460492503131e-16,0.0030455916072005262,28,1
cpu,32,-1,projected,B,6,2197,1,0,0.99531262675986842,0.99531262675987098,1,-2.55351295663786e-15,-0.004687373240131576,28,1
cpu,32,-1,live,A,3,343,-1,0,-0.89596525211331357,-0.89596525211331335,-1,-2.2204460492503131e-16,0.10403474788668643,28,1
cpu,32,-1,live,A,4,729,-1,0,-1.2070738015314275,-1.207073801531426,-1,-1.5543122344752192e-15,-0.20707380153142751,28,1
cpu,32,-1,live,A,5,1331,-1,0,-1.2236863106121476,-1.2236863106121469,-1,-6.6613381477509392e-16,-0.22368631061214761,28,1
cpu,32,-1,live,A,6,2197,-1,0,-1.3372763321411851,-1.3372763321411845,-1,-6.6613381477509392e-16,-0.33727633214118513,28,1
cpu,32,-1,live,B,3,343,1,0,0.69615968082777591,0.69615968082777602,1,-1.1102230246251565e-16,-0.30384031917222409,28,1
cpu,32,-1,live,B,4,729,1,0,0.99459543222172375,0.99459543222172331,1,4.4408920985006262e-16,-0.005404567778276248,28,1
cpu,32,-1,live,B,5,1331,1,0,1.0735700298829052,1.0735700298829047,1,4.4408920985006262e-16,0.073570029882905175,28,1
cpu,32,-1,live,B,6,2197,1,0,1.2424756476203471,1.2424756476203485,1,-1.3322676295501878e-15,0.24247564762034712,28,1
