backend_label,actual_backend,L,arm,seed,dx,dy,dz,n,tick,source_before_real,source_before_imag,expected_loss_real,expected_loss_imag,predicted_next_real,predicted_next_imag,source_after_real,source_after_imag,source_hazard,expected_removals,removal_variance,actual_removed,occupancy_before,occupancy_after,eligible_sites,mean_site_probability,min_site_probability,max_site_probability,mean_local_energy,max_local_energy,history_evaporation,history_other,history_required,history_enabled,toggles_valid,structural_valid,execution_valid
windows_msvc_cpu,cpu,32,coupled,0,1,0,0,1,2,0.051410672965307436,-0.51892806938335689,0.0043809063999942542,-0.043442354460129548,0.047029766565313179,-0.47548571492322733,0.047989289475143374,-0.47515987417846217,0.083730124812642193,1894.4375694564981,1733.7002834357575,1921,27203,25282,27203,0.069640759087471901,0.0013254833062357088,0.099955932586786034,0.19259559778023649,1.1045916990394695,1921,0,1,1,1,1,1
windows_msvc_cpu,cpu,32,coupled,0,1,0,0,1,3,0.047989289475143374,-0.47515987417846217,0.0037099942913093706,-0.036426100526058179,0.044279295183834,-0.43873377365240401,0.044460294571705417,-0.43819171547822366,0.076667268902431099,1513.2976916391303,1389.9677879804472,1525,25282,23757,25282,0.059856723820865848,4.3610359946335078e-05,0.098665180619551429,0.37543613584119112,1.9769016157972139,1525,0,1,1,1,1,1
windows_msvc_cpu,cpu,32,coupled,0,1,0,0,1,4,0.044460294571705417,-0.43819171547822366,0.0031093052379897825,-0.030690875723219255,0.041350989333715636,-0.4075008397550044,0.041442615282113432,-0.40764785099620815,0.070038761526236185,1225.7548961711957,1129.2944157265515,1228,23757,22529,23757,0.051595525368152366,9.0041025252066587e-07,0.095927572677238407,0.63982794327234338,2.9682609823685016,1228,0,1,1,1,1,1
windows_msvc_cpu,cpu,32,coupled,0,1,0,0,1,5,0.041442615282113432,-0.40764785099620815,0.0026083864293518226,-0.026111638061584466,0.03883422885276161,-0.3815362129346237,0.039418643622533139,-0.38101188722957946,0.064042996150868226,1004.6701285654083,926.52886773131593,1025,22529,21504,22529,0.044594528321958732,9.9773353752165323e-09,0.096318308388033777,0.99535360809834528,4.118621850670916,1025,0,1,1,1,1,1
windows_msvc_cpu,cpu,32,coupled,0,1,0,0,1,6,0.039418643622533139,-0.38101188722957946,0.002156210570570668,-0.021189984209650698,0.037262433051962474,-0.35982190301992878,0.037024424977414816,-0.3597253713953803,0.055605333933055896,789.28154647332997,730.58485990947941,791,21504,20713,21504,0.036703940963231492,6.2989264661130407e-11,0.094202720137937027,1.4662850295535537,5.4127154326827185,791,0,1,1,1,1,1
windows_msvc_cpu,cpu,32,coupled,0,1,0,0,1,7,0.037024424977414816,-0.3597253713953803,0.0017343806169224812,-0.017006319418347418,0.035290044360492337,-0.3427190519770329,0.035193501413975481,-0.34232680814394473,0.04727131657163252,616.12204445607892,572.07466958764849,630,20713,20083,20713,0.029745669118721525,2.6907137074698774e-13,0.091986207572324216,2.040036413335756,6.8066133042595549,630,0,1,1,1,1,1
windows_msvc_cpu,cpu,32,coupled,0,1,0,0,1,8,0.035193501413975481,-0.34232680814394473,0.0013764268286382319,-0.013405268160462384,0.033817074585337246,-0.32892153998348234,0.033985533569681856,-0.32869441130922089,0.039158758100508909,474.55616400235607,442.00640888775894,481,20083,19602,20083,0.023629744759366432,1.2734402876934419e-15,0.092397681542685225,2.7129722377303818,8.1743262275608384,481,0,1,1,1,1,1
windows_msvc_cpu,cpu,32,coupled,0,1,0,0,1,9,0.033985533569681856,-0.32869441130922089,0.0010542224409095262,-0.010318990882504587,0.032931311128772331,-0.31837542042671629,0.033088315459170695,-0.31798539258251507,0.031389916432532264,358.24808949105164,334.70439399873646,370,19602,19232,19602,0.0182760988414984,4.3844610232568766e-18,0.090577932677728873,3.4765289928933862,9.6233254586779999,370,0,1,1,1,1,1
windows_msvc_cpu,cpu,32,coupled,0,1,0,0,1,10,0.033088315459170695,-0.31798539258251507,0.00077123487244626756,-0.0075484428995196938,0.032317080586724424,-0.3104369496829954,0.032028205220783479,-0.30982279010394398,0.023733726684410265,257.87642709870022,241.84247184896068,280,19232,18952,19232,0.013408716051305128,8.807437889435946e-21,0.09161893012219291,4.3286400255535273,11.209987457113193,280,0,1,1,1,1,1
windows_msvc_cpu,cpu,32,coupled,0,1,0,0,1,11,0.032028205220783479,-0.30982279010394398,0.00050496663296922589,-0.0049960692934352905,0.031523238587814251,-0.30482672081050871,0.031418385151246342,-0.30450441999461825,0.016121771994622173,168.50837148201822,159.133946824112,179,18952,18773,18952,0.0088913239490300867,2.9424535808880455e-23,0.087555194465012531,5.2663203252687163,12.666680130486252,179,0,1,1,1,1,1
windows_msvc_cpu,cpu,32,coupled,0,1,0,0,1,12,0.031418385151246342,-0.30450441999461825,0.00030415848681988904,-0.0030007950283649108,0.031114226664426453,-0.30150362496625333,0.031077181019759502,-0.30140050845013522,0.0098528541164185739,100.31672268697383,95.555784103877556,104,18773,18669,18773,0.0053436703077277921,2.6295235810091821e-26,0.080053743079885636,6.2587020957275614,14.460283115124442,104,0,1,1,1,1,1
windows_msvc_cpu,cpu,32,coupled,0,1,0,0,1,13,0.031077181019759502,-0.30140050845013522,0.0001659293523863173,-0.0016206378102681029,0.030911251667373185,-0.29977987063986711,0.030982150870205453,-0.30034409841537602,0.0053766269438024275,53.860942929001439,51.920520849079992,35,18669,18634,18669,0.0028850470260325372,4.0732568750517006e-29,0.064391239053282895,7.2895692321770502,16.113344805000551,35,0,1,1,1,1,1
windows_msvc_cpu,cpu,32,coupled,0,1,0,0,1,14,0.030982150870205453,-0.30034409841537602,8.7119469142551769e-05,-0.00083343857144099569,0.030895031401062902,-0.29951065984393505,0.030904752976339253,-0.299498402028472,0.0027753350737079298,27.631235391804299,27.011230533859436,28,18634,18606,18634,0.0014828397226470055,3.4332434527141332e-32,0.042810524172103265,8.3336707114530171,17.921893134168613,28,0,1,1,1,1,1
windows_msvc_cpu,cpu,32,coupled,0,1,0,0,1,15,0.030904752976339253,-0.299498402028472,4.8521456523069631e-05,-0.00045944438209186611,0.030856231519816184,-0.29903895764638011,0.030839262450760151,-0.29892501829786755,0.0015344253245523829,15.221196394628324,15.015515250040931,19,18606,18587,18606,0.00081807999541160502,4.9210064913409606e-35,0.028172242194153676,9.3934298407678281,19.594789310423206,19,0,1,1,1,1,1
windows_msvc_cpu,cpu,32,coupled,0,1,0,0,1,16,0.030839262450760151,-0.29892501829786755,3.7772959047399402e-05,-0.00035898599494865112,0.030801489491712752,-0.29856603230291889,0.030803540345898783,-0.29865387841498103,0.0012011750255516967,11.889798477920134,11.759547418958828,9,18587,18578,18587,0.00063968356797332196,3.1152156837387462e-38,0.023528509504019999,10.440884076213285,21.476479138062917,9,0,1,1,1,1,1
windows_msvc_cpu,cpu,32,coupled,0,1,0,0,1,17,0.030803540345898783,-0.29865387841498103,4.577394584671151e-05,-0.00043923069045363988,0.03075776640005207,-0.29821464772452738,0.030761864556893909,-0.29820021945005087,0.0014708624401611888,14.545245586574115,14.351998447082323,15,18578,18563,18578,0.00078292849534794464,1.7088562244090977e-41,0.026067505105060736,11.444939133417472,23.394770582302115,15,0,1,1,1,1,1
windows_msvc_cpu,cpu,32,coupled,0,1,0,0,1,18,0.030761864556893909,-0.29820021945005087,6.8633720893447684e-05,-0.00066033672661342392,0.030693230836000462,-0.29753988272343745,0.030702327715458371,-0.29750417902023985,0.0022145833304177322,21.867538593660171,21.436833882467401,23,18563,18540,18563,0.0011780174860561423,4.6500252003176878e-44,0.039391097336807165,12.392157107436201,24.903886078621994,23,0,1,1,1,1,1
windows_msvc_cpu,cpu,32,coupled,0,1,0,0,1,19,0.030702327715458371,-0.29750417902023985,9.8141425682501246e-05,-0.00094312688736832213,0.030604186289775868,-0.29656105213287154,0.030630883505735746,-0.29671893140287947,0.0031704082593589007,31.237802221548232,30.369029882609766,26,18540,18514,18540,0.0016848868512161937,4.8385232290096008e-46,0.04592358890066614,13.261313177067013,26.070317085935045,26,0,1,1,1,1,1
windows_msvc_cpu,cpu,32,coupled,0,1,0,0,1,20,0.030630883505735746,-0.29671893140287947,0.00011456071411616829,-0.0010968487108361249,0.030516322791619577,-0.29562208269204332,0.030505856138721189,-0.29557157755496394,0.003697049739939767,36.343923459468783,35.171269230046114,38,18514,18476,18514,0.0019630508512190115,1.4423169279418523e-48,0.05532870892850722,14.030795778681711,27.556137354172396,38,0,1,1,1,1,1
windows_msvc_cpu,cpu,32,coupled,0,1,0,0,1,21,0.030505856138721189,-0.29557157755496394,0.00010855366323105436,-0.0010330592971716421,0.030397302475490134,-0.29453851825779231,0.030345564260330773,-0.2943079721925882,0.0034957914306923887,34.257333572697064,33.211229929535733,42,18476,18434,18476,0.0018541531485547231,1.4714829728863386e-51,0.054608880887362855,14.678110762395063,29.315897626848813,42,0,1,1,1,1,1
windows_msvc_cpu,cpu,32,coupled,0,1,0,0,1,22,0.030345564260330773,-0.2943079721925882,9.6954944787561479e-05,-0.00092078096122460984,0.030248609315543212,-0.29338719123136359,0.030250305314033894,-0.29331261984859125,0.0031293291840589605,30.563143215999141,29.73816050849749,33,18434,18401,18434,0.0016579767395030454,2.8378039292297722e-54,0.051644257925450271,15.164894617027842,30.912976054547638,33,0,1,1,1,1,1
windows_msvc_cpu,cpu,32,coupled,0,1,0,0,1,23,0.030250305314033894,-0.29331261984859125,9.7132709205460314e-05,-0.00091479458498988945,0.030153172604828433,-0.29239782526360136,0.030143367796192384,-0.29246983286070721,0.0031198077432669467,30.382498538165777,29.564367514546671,28,18401,18373,18401,0.0016511330111497081,1.284533463764747e-56,0.050815120303402773,15.450293270545627,32.292071280002361,28,0,1,1,1,1,1
windows_msvc_cpu,cpu,32,coupled,0,1,0,0,1,24,0.030143367796192384,-0.29246983286070721,0.00010839541455762561,-0.0010238379411689857,0.030034972381634759,-0.29144599491953821,0.029959947571455509,-0.29106060864464683,0.0035016637229533395,34.002344736646663,32.955699563438699,47,18373,18326,18373,0.0018506691741493855,1.2688269543780214e-57,0.05530307222879749,15.509421362871489,32.883506271382451,47,0,1,1,1,1,1
windows_msvc_cpu,cpu,32,coupled,0,1,0,0,1,25,0.029959947571455509,-0.29106060864464683,0.00011823317807674765,-0.0011218584670377981,0.029841714393378762,-0.28993875017760906,0.029823012836153295,-0.28988390999201918,0.00385534544243473,37.260367334442371,35.967364322484407,39,18326,18287,18326,0.0020331969515683932,3.4272817647856095e-59,0.055776602484265518,15.331932853134026,33.806213961140976,39,0,1,1,1,1,1
windows_msvc_cpu,cpu,32,coupled,0,1,0,0,1,26,0.029823012836153295,-0.28988390999201918,0.0001248865861155516,-0.0011938943884231598,0.029698126250037742,-0.28869001560359603,0.029710350430910887,-0.28892196209065563,0.0041192492297985016,39.679426409636847,38.215790940715777,32,18287,18255,18287,0.0021698160665848333,3.7973904773452888e-58,0.065259828674757145,14.864181472754197,33.191722393038084,32,0,1,1,1,1,1
windows_msvc_cpu,cpu,32,coupled,0,1,0,0,1,27,0.029710350430910887,-0.28892196209065563,0.00012836812910912897,-0.0012148679024667061,0.029581982301801757,-0.28770709418818891,0.029597916822411252,-0.28781444040463267,0.0042060425221190729,40.440486427525421,38.98572899010027,37,18255,18218,18255,0.0022153101302396835,1.6624398327156441e-56,0.063154651643952994,14.099250686763,32.22618230381034,37,0,1,1,1,1,1
windows_msvc_cpu,cpu,32,coupled,0,1,0,0,1,28,0.029597916822411252,-0.28781444040463267,0.00012994050856640968,-0.0012206035625208615,0.029467976313844842,-0.28659383684211182,0.029390910657842755,-0.28656012709151241,0.0042425011496885923,40.705850539790951,39.313716085823714,42,18218,18176,18218,0.0022343753726968354,3.251339649746247e-52,0.061826481160292414,13.071137494450422,29.701636339769387,42,0,1,1,1,1,1
windows_msvc_cpu,cpu,32,coupled,0,1,0,0,1,29,0.029390910657842755,-0.28656012709151241,0.00013358986334563593,-0.0012630703808605491,0.029257320794497121,-0.28529705671065186,0.0292432125379673,-0.28521076525829064,0.0044091297981011203,42.163703173197753,40.68713288139142,45,18176,18131,18176,0.0023197459932437145,5.3661562764418509e-47,0.064791394377887515,11.843398445562809,26.632164819634085,45,0,1,1,1,1,1
windows_msvc_cpu,cpu,32,coupled,0,1,0,0,1,30,0.0292432125379673,-0.28521076525829064,0.00013571338397864262,-0.0012938255666453088,0.029107499153988657,-0.28391693969164533,0.029166272237586381,-0.28397415915380253,0.0045374708624396944,43.203506328732395,41.615429396145473,41,18131,18090,18131,0.0023828529219972641,3.5599430382078677e-41,0.068030957484876919,10.498161667879996,23.207259931745149,41,0,1,1,1,1,1
windows_msvc_cpu,cpu,32,coupled,0,1,0,0,1,31,0.029166272237586381,-0.28397415915380253,0.00014088954194981722,-0.0013551727695002198,0.029025382695636565,-0.28261898638430233,0.029054753816057786,-0.28271865053275708,0.0047727788825554082,45.277069700459904,43.517282886517947,42,18090,18048,18090,0.0025028783692902104,8.1286898685751218e-35,0.068746413370701906,9.1102972316728952,19.466561351903962,42,0,1,1,1,1,1
windows_msvc_cpu,cpu,32,isolated,1,1,0,0,1,0,0.0625,-0.63457314922559527,0.0062499999999997766,-0.063457314922570437,0.056250000000000223,-0.57111583430302482,0.056013439507052773,-0.57089164186619434,0.10000000000001699,3276.7999999981153,2949.1200000006443,3278,32768,29490,32768,0.099999999999942482,0.10000000000000001,0.10000000000000001,0,0,3278,0,1,1,1,1,1
